Time-Domain Signal Samples
N = 501
fs = 200
t0 = -1.25
Signal label: x
Mathematical expression
x(t) = 120 exp( -(t + 1.25) / 0.50 )
Time and signal samples in .csv format
t, x(t)
-------
-1.25, 120
-1.245, 119
-1.24, 118
-1.235, 116
-1.23, 115
-1.225, 114
-1.22, 113
-1.215, 112
-1.21, 111
-1.205, 110
-1.2, 109
-1.195, 108
-1.19, 106
-1.185, 105
-1.18, 104
-1.175, 103
-1.17, 102
-1.165, 101
-1.16, 100
-1.155, 99
-1.15, 98
-1.145, 97
-1.14, 96
-1.135, 95
-1.13, 94
-1.125, 93
-1.12, 93
-1.115, 92
-1.11, 91
-1.105, 90
-1.1, 89
-1.095, 88
-1.09, 87
-1.085, 86
-1.08, 85
-1.075, 85
-1.07, 84
-1.065, 83
-1.06, 82
-1.055, 81
-1.05, 80
-1.045, 80
-1.04, 79
-1.035, 78
-1.03, 77
-1.025, 77
-1.02, 76
-1.015, 75
-1.01, 74
-1.005, 74
-1, 73
-0.995, 72
-0.99, 71
-0.985, 71
-0.98, 70
-0.975, 69
-0.97, 69
-0.965, 68
-0.96, 67
-0.955, 67
-0.95, 66
-0.945, 65
-0.94, 65
-0.935, 64
-0.93, 63
-0.925, 63
-0.92, 62
-0.915, 61
-0.91, 61
-0.905, 60
-0.9, 60
-0.895, 59
-0.89, 58
-0.885, 58
-0.88, 57
-0.875, 57
-0.87, 56
-0.865, 56
-0.86, 55
-0.855, 54
-0.85, 54
-0.845, 53
-0.84, 53
-0.835, 52
-0.83, 52
-0.825, 51
-0.82, 51
-0.815, 50
-0.81, 50
-0.805, 49
-0.8, 49
-0.795, 48
-0.79, 48
-0.785, 47
-0.78, 47
-0.775, 46
-0.77, 46
-0.765, 45
-0.76, 45
-0.755, 45
-0.75, 44
-0.745, 44
-0.74, 43
-0.735, 43
-0.73, 42
-0.725, 42
-0.72, 42
-0.715, 41
-0.71, 41
-0.705, 40
-0.7, 40
-0.695, 40
-0.69, 39
-0.685, 39
-0.68, 38
-0.675, 38
-0.67, 38
-0.665, 37
-0.66, 37
-0.655, 37
-0.65, 36
-0.645, 36
-0.64, 35
-0.635, 35
-0.63, 35
-0.625, 34
-0.62, 34
-0.615, 34
-0.61, 33
-0.605, 33
-0.6, 33
-0.595, 32
-0.59, 32
-0.585, 32
-0.58, 31
-0.575, 31
-0.57, 31
-0.565, 30
-0.56, 30
-0.555, 30
-0.55, 30
-0.545, 29
-0.54, 29
-0.535, 29
-0.53, 28
-0.525, 28
-0.52, 28
-0.515, 28
-0.51, 27
-0.505, 27
-0.5, 27
-0.495, 27
-0.49, 26
-0.485, 26
-0.48, 26
-0.475, 25
-0.47, 25
-0.465, 25
-0.46, 25
-0.455, 24
-0.45, 24
-0.445, 24
-0.44, 24
-0.435, 24
-0.43, 23
-0.425, 23
-0.42, 23
-0.415, 23
-0.41, 22
-0.405, 22
-0.4, 22
-0.395, 22
-0.39, 21
-0.385, 21
-0.38, 21
-0.375, 21
-0.37, 21
-0.365, 20
-0.36, 20
-0.355, 20
-0.35, 20
-0.345, 20
-0.34, 19
-0.335, 19
-0.33, 19
-0.325, 19
-0.32, 19
-0.315, 18
-0.31, 18
-0.305, 18
-0.3, 18
-0.295, 18
-0.29, 18
-0.285, 17
-0.28, 17
-0.275, 17
-0.27, 17
-0.265, 17
-0.26, 17
-0.255, 16
-0.25, 16
-0.245, 16
-0.24, 16
-0.235, 16
-0.23, 16
-0.225, 15
-0.22, 15
-0.215, 15
-0.21, 15
-0.205, 15
-0.2, 15
-0.195, 15
-0.19, 14
-0.185, 14
-0.18, 14
-0.175, 14
-0.17, 14
-0.165, 14
-0.16, 14
-0.155, 13
-0.15, 13
-0.145, 13
-0.14, 13
-0.135, 13
-0.13, 13
-0.125, 13
-0.12, 13
-0.115, 12
-0.11, 12
-0.105, 12
-0.1, 12
-0.095, 12
-0.09, 12
-0.085, 12
-0.08, 12
-0.075, 11
-0.07, 11
-0.065, 11
-0.06, 11
-0.055, 11
-0.05, 11
-0.045, 11
-0.04, 11
-0.035, 11
-0.03, 10
-0.025, 10
-0.02, 10
-0.015, 10
-0.01, 10
-0.005, 10
0, 10
0.005, 10
0.01, 10
0.015, 10
0.02, 9
0.025, 9
0.03, 9
0.035, 9
0.04, 9
0.045, 9
0.05, 9
0.055, 9
0.06, 9
0.065, 9
0.07, 9
0.075, 8
0.08, 8
0.085, 8
0.09, 8
0.095, 8
0.1, 8
0.105, 8
0.11, 8
0.115, 8
0.12, 8
0.125, 8
0.13, 8
0.135, 8
0.14, 7
0.145, 7
0.15, 7
0.155, 7
0.16, 7
0.165, 7
0.17, 7
0.175, 7
0.18, 7
0.185, 7
0.19, 7
0.195, 7
0.2, 7
0.205, 7
0.21, 6
0.215, 6
0.22, 6
0.225, 6
0.23, 6
0.235, 6
0.24, 6
0.245, 6
0.25, 6
0.255, 6
0.26, 6
0.265, 6
0.27, 6
0.275, 6
