Time-Domain Signal Samples
N = 501
fs = 100
t0 = 0
Signal label: y
Mathematical expression
y(t) = 250 exp( -t ) - 250. exp( -t / 0.50 )
Time and signal samples in .csv format
t, y(t)
-------
0, 0
0.01, 2
0.02, 5
0.03, 7
0.04, 9
0.05, 12
0.06, 14
0.07, 16
0.08, 18
0.09, 20
0.1, 22
0.11, 23
0.12, 25
0.13, 27
0.14, 28
0.15, 30
0.16, 31
0.17, 33
0.18, 34
0.19, 36
0.2, 37
0.21, 38
0.22, 40
0.23, 41
0.24, 42
0.25, 43
0.26, 44
0.27, 45
0.28, 46
0.29, 47
0.3, 48
0.31, 49
0.32, 50
0.33, 51
0.34, 51
0.35, 52
0.36, 53
0.37, 53
0.38, 54
0.39, 55
0.4, 55
0.41, 56
0.42, 56
0.43, 57
0.44, 57
0.45, 58
0.46, 58
0.47, 59
0.48, 59
0.49, 59
0.5, 60
0.51, 60
0.52, 60
0.53, 61
0.54, 61
0.55, 61
0.56, 61
0.57, 61
0.58, 62
0.59, 62
0.6, 62
0.61, 62
0.62, 62
0.63, 62
0.64, 62
0.65, 62
0.66, 62
0.67, 62
0.68, 62
0.69, 62
0.7, 62
0.71, 62
0.72, 62
0.73, 62
0.74, 62
0.75, 62
0.76, 62
0.77, 62
0.78, 62
0.79, 62
0.8, 62
0.81, 62
0.82, 62
0.83, 61
0.84, 61
0.85, 61
0.86, 61
0.87, 61
0.88, 61
0.89, 61
0.9, 60
0.91, 60
0.92, 60
0.93, 60
0.94, 60
0.95, 59
0.96, 59
0.97, 59
0.98, 59
0.99, 58
1, 58
1.01, 58
1.02, 58
1.03, 57
1.04, 57
1.05, 57
1.06, 57
1.07, 56
1.08, 56
1.09, 56
1.1, 56
1.11, 55
1.12, 55
1.13, 55
1.14, 54
1.15, 54
1.16, 54
1.17, 54
1.18, 53
1.19, 53
1.2, 53
1.21, 52
1.22, 52
1.23, 52
1.24, 51
1.25, 51
1.26, 51
1.27, 50
1.28, 50
1.29, 50
1.3, 50
1.31, 49
1.32, 49
1.33, 49
1.34, 48
1.35, 48
1.36, 48
1.37, 47
1.38, 47
1.39, 47
1.4, 46
1.41, 46
1.42, 46
1.43, 46
1.44, 45
1.45, 45
1.46, 45
1.47, 44
1.48, 44
1.49, 44
1.5, 43
1.51, 43
1.52, 43
1.53, 42
1.54, 42
1.55, 42
1.56, 41
1.57, 41
1.58, 41
1.59, 41
1.6, 40
1.61, 40
1.62, 40
1.63, 39
1.64, 39
1.65, 39
1.66, 38
1.67, 38
1.68, 38
1.69, 38
1.7, 37
1.71, 37
1.72, 37
1.73, 36
1.74, 36
1.75, 36
1.76, 36
1.77, 35
1.78, 35
1.79, 35
1.8, 34
1.81, 34
1.82, 34
1.83, 34
1.84, 33
1.85, 33
1.86, 33
1.87, 33
1.88, 32
1.89, 32
1.9, 32
1.91, 32
1.92, 31
1.93, 31
1.94, 31
1.95, 31
1.96, 30
1.97, 30
1.98, 30
1.99, 30
2, 29
2.01, 29
2.02, 29
2.03, 29
2.04, 28
2.05, 28
2.06, 28
2.07, 28
2.08, 27
2.09, 27
2.1, 27
2.11, 27
2.12, 26
2.13, 26
2.14, 26
2.15, 26
2.16, 26
2.17, 25
2.18, 25
2.19, 25
2.2, 25
2.21, 24
2.22, 24
2.23, 24
2.24, 24
2.25, 24
2.26, 23
2.27, 23
2.28, 23
2.29, 23
2.3, 23
2.31, 22
2.32, 22
2.33, 22
2.34, 22
2.35, 22
2.36, 21
2.37, 21
2.38, 21
2.39, 21
2.4, 21
2.41, 20
2.42, 20
2.43, 20
2.44, 20
2.45, 20
2.46, 20
2.47, 19
2.48, 19
2.49, 19
2.5, 19
2.51, 19
2.52, 18
2.53, 18
2.54, 18
2.55, 18
2.56, 18
2.57, 18
2.58, 18
2.59, 17
2.6, 17
2.61, 17
2.62, 17
2.63, 17
2.64, 17
2.65, 16
2.66, 16
2.67, 16
2.68, 16
2.69, 16
2.7, 16
2.71, 16
2.72, 15
2.73, 15
2.74, 15
2.75, 15
2.76, 15
2.77, 15
2.78, 15
2.79, 14
2.8, 14
2.81, 14
2.82, 14
2.83, 14
2.84, 14
2.85, 14
2.86, 13
2.87, 13
2.88, 13
2.89, 13
2.9, 13
2.91, 13
2.92, 13
2.93, 13
2.94, 13
2.95, 12
2.96, 12
2.97, 12
2.98, 12
