Time-Domain Signal Samples
N = 501
fs = 200
t0 = 0
Signal label: s
Mathematical expression
s(t) = (400 t - 50.0)(1.00 exp( -t / 0.50 ))
Time and signal samples in .csv format
t, s(t)
-------
0, -50
0.005, -48
0.01, -45
0.015, -43
0.02, -40
0.025, -38
0.03, -36
0.035, -34
0.04, -31
0.045, -29
0.05, -27
0.055, -25
0.06, -23
0.065, -21
0.07, -19
0.075, -17
0.08, -15
0.085, -13
0.09, -12
0.095, -10
0.1, -8
0.105, -6
0.11, -5
0.115, -3
0.12, -2
0.125, 0
0.13, 2
0.135, 3
0.14, 5
0.145, 6
0.15, 7
0.155, 9
0.16, 10
0.165, 12
0.17, 13
0.175, 14
0.18, 15
0.185, 17
0.19, 18
0.195, 19
0.2, 20
0.205, 21
0.21, 22
0.215, 23
0.22, 24
0.225, 26
0.23, 27
0.235, 28
0.24, 28
0.245, 29
0.25, 30
0.255, 31
0.26, 32
0.265, 33
0.27, 34
0.275, 35
0.28, 35
0.285, 36
0.29, 37
0.295, 38
0.3, 38
0.305, 39
0.31, 40
0.315, 40
0.32, 41
0.325, 42
0.33, 42
0.335, 43
0.34, 44
0.345, 44
0.35, 45
0.355, 45
0.36, 46
0.365, 46
0.37, 47
0.375, 47
0.38, 48
0.385, 48
0.39, 49
0.395, 49
0.4, 49
0.405, 50
0.41, 50
0.415, 51
0.42, 51
0.425, 51
0.43, 52
0.435, 52
0.44, 52
0.445, 53
0.45, 53
0.455, 53
0.46, 53
0.465, 54
0.47, 54
0.475, 54
0.48, 54
0.485, 55
0.49, 55
0.495, 55
0.5, 55
0.505, 55
0.51, 56
0.515, 56
0.52, 56
0.525, 56
0.53, 56
0.535, 56
0.54, 56
0.545, 56
0.55, 57
0.555, 57
0.56, 57
0.565, 57
0.57, 57
0.575, 57
0.58, 57
0.585, 57
0.59, 57
0.595, 57
0.6, 57
0.605, 57
0.61, 57
0.615, 57
0.62, 57
0.625, 57
0.63, 57
0.635, 57
0.64, 57
0.645, 57
0.65, 57
0.655, 57
0.66, 57
0.665, 57
0.67, 57
0.675, 57
0.68, 57
0.685, 57
0.69, 57
0.695, 57
0.7, 57
0.705, 57
0.71, 57
0.715, 56
0.72, 56
0.725, 56
0.73, 56
0.735, 56
0.74, 56
0.745, 56
0.75, 56
0.755, 56
0.76, 56
0.765, 55
0.77, 55
0.775, 55
0.78, 55
0.785, 55
0.79, 55
0.795, 55
0.8, 55
0.805, 54
0.81, 54
0.815, 54
0.82, 54
0.825, 54
0.83, 54
0.835, 53
0.84, 53
0.845, 53
0.85, 53
0.855, 53
0.86, 53
0.865, 52
0.87, 52
0.875, 52
0.88, 52
0.885, 52
0.89, 52
0.895, 51
0.9, 51
0.905, 51
0.91, 51
0.915, 51
0.92, 51
0.925, 50
0.93, 50
0.935, 50
0.94, 50
0.945, 50
0.95, 49
0.955, 49
0.96, 49
0.965, 49
0.97, 49
0.975, 48
0.98, 48
0.985, 48
0.99, 48
0.995, 48
1, 47
1.005, 47
1.01, 47
1.015, 47
1.02, 47
1.025, 46
1.03, 46
1.035, 46
1.04, 46
