Time-Domain Signal Samples
N = 501
fs = 100
t0 = -5
Signal label: g
Mathematical expression
g(t) = (1.00 exp( -(t + 5.00) ))(100 cos( 10.0 (t + 5.00)  ) - 20.0 cos( 10.0 (t + 5.00) - 1.57 ))
Time and signal samples in .csv format
t, g(t)
-------
-5, 100
-4.99, 97
-4.98, 92
-4.97, 87
-4.96, 81
-4.95, 74
-4.94, 67
-4.93, 59
-4.92, 51
-4.91, 42
-4.9, 34
-4.89, 25
-4.88, 16
-4.87, 7
-4.86, -2
-4.85, -11
-4.84, -20
-4.83, -28
-4.82, -35
-4.81, -42
-4.8, -49
-4.79, -55
-4.78, -60
-4.77, -65
-4.76, -69
-4.75, -72
-4.74, -74
-4.73, -76
-4.72, -76
-4.71, -76
-4.7, -75
-4.69, -74
-4.68, -72
-4.67, -69
-4.66, -65
-4.65, -61
-4.64, -56
-4.63, -51
-4.62, -46
-4.61, -40
-4.6, -34
-4.59, -27
-4.58, -21
-4.57, -14
-4.56, -8
-4.55, -1
-4.54, 5
-4.53, 12
-4.52, 18
-4.51, 23
-4.5, 29
-4.49, 34
-4.48, 38
-4.47, 42
-4.46, 46
-4.45, 49
-4.44, 52
-4.43, 53
-4.42, 55
-4.41, 56
-4.4, 56
-4.39, 55
-4.38, 55
-4.37, 53
-4.36, 51
-4.35, 49
-4.34, 46
-4.33, 43
-4.32, 39
-4.31, 35
-4.3, 31
-4.29, 26
-4.28, 22
-4.27, 17
-4.26, 12
-4.25, 8
-4.24, 3
-4.23, -2
-4.22, -7
-4.21, -11
-4.2, -15
-4.19, -19
-4.18, -23
-4.17, -27
-4.16, -30
-4.15, -33
-4.14, -35
-4.13, -37
-4.12, -38
-4.11, -40
-4.1, -40
-4.09, -41
-4.08, -41
-4.07, -40
-4.06, -39
-4.05, -38
-4.04, -36
-4.03, -34
-4.02, -32
-4.01, -30
-4, -27
-3.99, -24
-3.98, -21
-3.97, -17
-3.96, -14
-3.95, -10
-3.94, -7
-3.93, -3
-3.92, 0
-3.91, 3
-3.9, 7
-3.89, 10
-3.88, 13
-3.87, 16
-3.86, 18
-3.85, 21
-3.84, 23
-3.83, 25
-3.82, 26
-3.81, 28
-3.8, 29
-3.79, 29
-3.78, 30
-3.77, 30
-3.76, 29
-3.75, 29
-3.74, 28
-3.73, 27
-3.72, 26
